Specie,Identificativo Pianta,Massa Chioma (g),Massa Fusto (g),Massa Rami (g),Massa Radici (g),Massa Totale (g),Altitudine,Diametro (mm),Altezza (cm),Ramo più lungo (cm),Età,Numero di rami,Lunghezza radice più lunga (cm),Quota (m),Morfologia terreno,Uso del suolo,Esposizione,Distanza albero più vicino (m),Direzione albero più vicino (m),Distanza semenzale più vicino (cm),Tipo di suolo,Profondità apparato radicale (cm)
"Pinus cembra",48,3.77330017e+02,1.48502991e+03,5.50179993e+02,8.27094788e+02,3.23963477e+03,1700,6.35000000e+01,2.70000000e+02,7.60000000e+01,51,97,2.85000000e+02,1740,"Pianoro","Bosco rado d'alta quota","N-O",6.00000000e+00,"N-E",1.00000000e+00,"Cambisol",3.50000000e+01
"Larix decidua",18,1.54700003e+01,6.13400002e+01,4.22700005e+01,4.59700012e+01,1.65050003e+02,2000,1.40000000e+01,1.00000000e+02,3.00000000e+01,25,29,2.10000000e+02,1880,"Pendio","Bordo strada","N-O",1.00000000e+01,"S",1.00000000e+00,"Cambisol",4.00000000e+01
"Larix decidua",19,2.28400002e+01,7.33199997e+01,7.58700027e+01,7.91853638e+01,2.51215363e+02,2000,2.60000000e+01,1.20000000e+02,3.40000000e+01,29,42,2.30000000e+02,1880,"Pendio","Bordo strada","N-O",2.00000000e+01,"N-E",1.00000000e+00,"Cambisol",6.00000000e+01
"Larix decidua",33,2.26399994e+01,6.90599976e+01,7.79199982e+01,1.00096420e+02,2.69716400e+02,2000,2.12000008e+01,9.50000000e+01,4.00000000e+01,33,30,2.10000000e+02,2090,"Pendio","Bosco rado d'alta quota","E",3.00000000e+00,"N",1.00000000e+00,"Cambisol",4.00000000e+01
"Larix decidua",34,2.66900005e+01,7.08099976e+01,1.00360001e+02,9.66758041e+01,2.94535797e+02,2000,2.31000004e+01,8.60000000e+01,5.10000000e+01,38,38,1.10000000e+02,2050,"Pianoro","Bosco rado d'alta quota","E",5.00000000e+00,"E",2.00000003e-01,"Phaeozem",1.50000000e+02
"Larix decidua",35,2.85100002e+01,6.14900017e+01,1.07470001e+02,1.07708427e+02,3.05178436e+02,2000,2.25000000e+01,7.00000000e+01,5.00000000e+01,47,35,1.50000000e+02,2055,"Pendio","Frana","N-E",1.50000000e+01,"N",3.00000000e+00,"Regosol",2.00000000e+01
"Larix decidua",36,7.26999998e+00,3.06399994e+01,4.56599998e+01,3.21485863e+01,1.15718590e+02,2000,1.72999992e+01,5.70000000e+01,3.00000000e+01,35,26,1.97000000e+02,2055,"Pendio","Frana","N-E",1.00000000e+01,"E",3.00000000e+00,"Regosol",3.50000000e+01
"Larix decidua",37,6.00000000e+00,1.18100004e+01,2.58099995e+01,1.76926498e+01,6.13126488e+01,2000,1.35000000e+01,5.20000000e+01,3.30000000e+01,35,17,1.10000000e+02,1880,"Pendio","Bordo strada","N-O",5.00000000e+00,"S-E",4.00000006e-01,"Cambisol",3.00000000e+01
"Larix decidua",38,3.91000009e+00,7.11999989e+00,6.78000021e+00,9.30593777e+00,2.71159382e+01,2000,1.25000000e+01,3.80000000e+01,2.40000000e+01,17,18,6.00000000e+01,1880,"Pendio","Pascolo d'alta quota","O",3.00000000e+00,"S",3.00000012e-01,"Regosol",3.00000000e+01
"Larix decidua",39,1.53500004e+01,7.33099976e+01,5.87799988e+01,5.16400299e+01,1.99080032e+02,2000,2.40000000e+01,6.50000000e+01,3.50000000e+01,39,35,2.10000000e+02,1875,"Pendio","Bosco rado d'alta quota","N-O",1.00000000e+01,"S-O",3.00000012e-01,"Leptosol",2.00000000e+01
"Larix decidua",40,4.50000000e+00,9.07999992e+00,1.88299999e+01,1.66931305e+01,4.91031303e+01,2000,1.23999996e+01,3.10000000e+01,2.40000000e+01,35,13,1.35000000e+02,1875,"Pendio","Bosco rado d'alta quota","N-O",1.00000000e+01,"S-O",2.00000000e+00,"Leptosol",3.00000000e+01
"Pinus cembra",11,3.25000024e+00,4.05999994e+00,7.79999971e-01,2.67974162e+00,1.07697420e+01,2000,8.00000000e+00,2.60000000e+01,8.00000000e+00,30,5,6.10000000e+01,1790,"Pendio","Bordo strada","N-E",5.00000000e+00,"N-O",2.00000003e-01,"Cambisol",5.00000000e+00
"Pinus cembra",12,4.76399994e+01,7.73799973e+01,2.69099998e+01,5.50064163e+01,2.06936417e+02,2000,2.16000004e+01,8.10000000e+01,2.90000000e+01,31,25,1.50000000e+02,1790,"Pendio","Bordo strada","N-E",5.00000000e+00,"N-O",2.00000003e-01,"Cambisol",2.00000000e+01
"Pinus cembra",13,7.73800049e+01,1.03920006e+02,4.91900024e+01,7.47700806e+01,3.05260101e+02,2000,2.79500008e+01,1.00000000e+02,3.40000000e+01,31,37,1.85000000e+02,1790,"Pendio","Bordo strada","N-E",5.00000000e+00,"N-O",2.00000003e-01,"Cambisol",3.00000000e+01
"Pinus cembra",14,3.68699989e+01,9.96200027e+01,2.05900021e+01,5.53473129e+01,2.12427322e+02,2000,2.10000000e+01,9.40000000e+01,3.20000000e+01,31,34,3.30000000e+01,1800,"Conca","Bosco rado d'alta quota","N-O",5.00000000e+00,"N-O",4.00000006e-01,"Cambisol",1.50000000e+01
"Pinus cembra",15,1.10580002e+02,2.20169998e+02,1.08919998e+02,1.85656281e+02,6.25326294e+02,2000,3.30999985e+01,1.13000000e+02,4.70000000e+01,29,31,1.83000000e+02,1820,"Dosso","Bosco rado d'alta quota","N-E",5.00000000e+00,"N-E",1.00000000e+00,"Cambisol",3.00000000e+01
